,year,quarter,location,economic activity,micro enterprises,small enterprises,medium enterprises,large enterprises,total number of enterprises
31,2022,1,Eastern Region Office,الأنشطة الأخرى للتعدين واستغلال المحاجر,39,25,10,1,75
32,2022,1,Eastern Region Office,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,173,31,2,1,207
33,2022,1,Eastern Region Office,الأنشطة الإيجارية,622,144,24,6,796
34,2022,1,Eastern Region Office,الأنشطة البيطرية,6,10,2,0,18
35,2022,1,Eastern Region Office,الأنشطة الرياضية وأنشطة التسلية والترفيه,152,70,3,1,226
36,2022,1,Eastern Region Office,الأنشطة العقارية,263,127,12,2,404
37,2022,1,Eastern Region Office,الأنشطة القانونية وأنشطة المحاسبة,95,41,2,0,138
38,2022,1,Eastern Region Office,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,12,12,1,1,26
39,2022,1,Eastern Region Office,الأنشطة المهنية والعلمية والتقنية الأخرى,85,17,0,0,102
40,2022,1,Eastern Region Office,الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,1,1,0,0,2
41,2022,1,Eastern Region Office,الاتصالات,64,19,0,0,83
42,2022,1,Eastern Region Office,البحث والتطوير في المجال العلمي,6,3,1,0,10
43,2022,1,Eastern Region Office,التخزين وأنشطة الدعم للنقل,263,124,30,6,423
44,2022,1,Eastern Region Office,التعليم,147,169,51,13,380
45,2022,1,Eastern Region Office,الحراجة وقطع الأخشاب,1,1,0,0,2
46,2022,1,Eastern Region Office,الرعاية مع الإقامة,9,6,1,0,16
47,2022,1,Eastern Region Office,الصحة البشرية,85,148,63,24,320
48,2022,1,Eastern Region Office,الصرف الصحي,9,7,1,1,18
49,2022,1,Eastern Region Office,الصناعة التحويلية الأخرى,65,36,4,0,105
50,2022,1,Eastern Region Office,الطباعة واستنساخ وسائط الأعلام المسجّلة,112,76,7,0,195
51,2022,1,Eastern Region Office,النقل البري و النقل عبر الأنابيب,969,286,66,18,1339
52,2022,1,Eastern Region Office,النقل الجوي,78,73,37,7,195
53,2022,1,Eastern Region Office,النقل المائي,28,17,7,0,52
54,2022,1,Eastern Region Office,الهندسة المدنية,107,48,9,2,166
55,2022,1,Eastern Region Office,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,5224,1982,217,39,7462
56,2022,1,Eastern Region Office,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,2507,1408,236,50,4201
57,2022,1,Eastern Region Office,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,2131,735,31,6,2903
58,2022,1,Eastern Region Office,تجميع المياه ومعالجتها وتوصيلها,24,15,1,1,41
59,2022,1,Eastern Region Office,تشييد المباني,4167,2636,547,205,7555
60,2022,1,Eastern Region Office,تعدين الفحم والليغنيت,5,0,0,0,5
61,2022,1,Eastern Region Office,تعدين ركازات الفلزات,84,86,11,2,183
62,2022,1,Eastern Region Office,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,5,13,3,4,25
63,2022,1,Eastern Region Office,توصيل الكهرباء والغاز والبخار وتكييف الهواء,32,54,16,4,106
64,2022,1,Eastern Region Office,صناعة الآلات والمعدات غير المصنفة في موضع أخر,47,36,7,2,92
65,2022,1,Eastern Region Office,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,19,10,0,0,29
66,2022,1,Eastern Region Office,صناعة معدات النقل الأخرى,19,13,7,2,41
67,2022,1,Eastern Region Office,صنع الأثاث,292,113,8,1,414
68,2022,1,Eastern Region Office,صنع الحواسيب والمنتجات الإلكترونية والبصرية,106,49,12,3,170
69,2022,1,Eastern Region Office,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,239,164,21,7,431
70,2022,1,Eastern Region Office,صنع الفلزات القاعدية,113,114,48,9,284
71,2022,1,Eastern Region Office,صُنع المشروبات,18,13,3,1,35
72,2022,1,Eastern Region Office,صنع المعدات الكهربائية,172,83,16,2,273
73,2022,1,Eastern Region Office,صُنع الملبوسات,750,173,7,0,930
74,2022,1,Eastern Region Office,صُنع المنتجات الجلدية والمنتجات ذات الصلة,4,1,0,0,5
75,2022,1,Eastern Region Office,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,4,4,2,0,10
76,2022,1,Eastern Region Office,صُنع المنتجات الغذائية,410,208,53,9,680
77,2022,1,Eastern Region Office,صُنع المنسوجات,136,85,9,0,230
78,2022,1,Eastern Region Office,صُنع المواد الكيميائية والمنتجات الكيميائية,108,72,18,1,199
79,2022,1,Eastern Region Office,صُنع الورق ومنتجات الورق,23,16,10,0,49
80,2022,1,Eastern Region Office,صنع فحم الكوك والمنتجات النفطية المكررة,12,16,3,2,33
81,2022,1,Eastern Region Office,صُنع منتجات التبغ,2,1,0,0,3
82,2022,1,Eastern Region Office,صنع منتجات المطاط واللدائن,47,81,63,10,201
83,2022,1,Eastern Region Office,صنع منتجات المعادن اللافلزية الأخرى,150,100,32,7,289
84,2022,1,Eastern Region Office,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),341,242,70,20,673
85,2022,1,Eastern Region Office,صيد الأسماك وتربية المائيات,224,175,5,0,404
86,2022,1,Eastern Region Office,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,74,34,6,0,114
87,2022,1,Al-Ahsa Governorate Office,أبحاث الإعلان والسوق,19,3,0,0,22
88,2022,1,Al-Ahsa Governorate Office,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,124,20,2,0,146
89,2022,1,Al-Ahsa Governorate Office,إصلاح وتركيب الآلات والمعدات,55,4,0,0,59
90,2022,1,Al-Ahsa Governorate Office,أنشطة أنتاج الأفلام والبرامج التلفزيونية والتسجيلات الصوتية و نشرالموسيقى,7,0,0,0,7
91,2022,1,Al-Ahsa Governorate Office,أنشطة الأمن والتحقيقات,2,1,2,0,5
92,2022,1,Al-Ahsa Governorate Office,أنشطة الاستخدام,25,5,0,0,30
93,2022,1,Al-Ahsa Governorate Office,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1
94,2022,1,Al-Ahsa Governorate Office,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,10,3,0,0,13
95,2022,1,Al-Ahsa Governorate Office,أنشطة البرمجة والإذاعة,1,0,0,0,1
96,2022,1,Al-Ahsa Governorate Office,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,1,2,0,0,3
97,2022,1,Al-Ahsa Governorate Office,أنشطة التشييد المتخصصة,870,220,10,2,1102
98,2022,1,Al-Ahsa Governorate Office,أنشطة الخدمات الشخصية الأخرى,921,129,3,1,1054
99,2022,1,Al-Ahsa Governorate Office,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,21,2,1,0,24
100,2022,1,Al-Ahsa Governorate Office,أنشطة العمل الاجتماعي، دون إقامة، لكبار السن وذوي الإعاقة,20,23,2,0,45
101,2022,1,Al-Ahsa Governorate Office,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,0,1,0,0,1
102,2022,1,Al-Ahsa Governorate Office,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,30,30,4,0,64
103,2022,1,Al-Ahsa Governorate Office,أنشطة المكاتب الرئيسية ، وألأنشطة الاستشارية في مجال الإدارة,25,4,0,0,29
104,2022,1,Al-Ahsa Governorate Office,أنشطة المكتبات ودور المحفوظات، والمتاحف والأنشطة الثقافية الأخرى,32,9,0,0,41
105,2022,1,Al-Ahsa Governorate Office,أنشطة المنظمات ذات العضوية,6,2,1,0,9
106,2022,1,Al-Ahsa Governorate Office,أنشطة النشر,2,1,0,0,3
107,2022,1,Al-Ahsa Governorate Office,أنشطة تقديم الخدمات للمباني وتجميل المواقع,182,53,4,0,239
108,2022,1,Al-Ahsa Governorate Office,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,2,2,0,0,4
109,2022,1,Al-Ahsa Governorate Office,أنشطة خدمات الأطعمة والمشروبات,1231,564,34,2,1831
110,2022,1,Al-Ahsa Governorate Office,أنشطة خدمات المعلومات,8,2,0,0,10
111,2022,1,Al-Ahsa Governorate Office,أنشطة خدمات دعم التعدين,7,14,0,0,21
112,2022,1,Al-Ahsa Governorate Office,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,269,50,7,0,326
113,2022,1,Al-Ahsa Governorate Office,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,25,14,1,0,40
114,2022,1,Al-Ahsa Governorate Office,الإقامة,47,26,4,0,77
115,2022,1,Al-Ahsa Governorate Office,الأنشطة الإبداعية والفنون وأنشطة الترفيه,5,1,0,0,6
116,2022,1,Al-Ahsa Governorate Office,الأنشطة الأخرى للتعدين واستغلال المحاجر,18,3,0,0,21
117,2022,1,Al-Ahsa Governorate Office,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,32,8,0,0,40
118,2022,1,Al-Ahsa Governorate Office,الأنشطة الإيجارية,305,43,5,2,355
119,2022,1,Al-Ahsa Governorate Office,الأنشطة البيطرية,5,1,0,0,6
120,2022,1,Al-Ahsa Governorate Office,الأنشطة الرياضية وأنشطة التسلية والترفيه,33,15,1,0,49
121,2022,1,Al-Ahsa Governorate Office,الأنشطة العقارية,37,9,1,0,47
122,2022,1,Al-Ahsa Governorate Office,الأنشطة القانونية وأنشطة المحاسبة,14,1,1,0,16
123,2022,1,Al-Ahsa Governorate Office,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,2,0,0,0,2
124,2022,1,Al-Ahsa Governorate Office,الأنشطة المهنية والعلمية والتقنية الأخرى,34,1,0,0,35
125,2022,1,Al-Ahsa Governorate Office,الاتصالات,18,6,0,0,24
126,2022,1,Al-Ahsa Governorate Office,التخزين وأنشطة الدعم للنقل,63,14,0,1,78
127,2022,1,Al-Ahsa Governorate Office,التعليم,40,28,12,0,80
128,2022,1,Al-Ahsa Governorate Office,الرعاية مع الإقامة,3,0,1,0,4
129,2022,1,Al-Ahsa Governorate Office,الصحة البشرية,30,60,14,6,110
130,2022,1,Al-Ahsa Governorate Office,الصرف الصحي,2,0,0,0,2
131,2022,1,Al-Ahsa Governorate Office,الصناعة التحويلية الأخرى,20,5,0,0,25
132,2022,1,Al-Ahsa Governorate Office,الطباعة واستنساخ وسائط الأعلام المسجّلة,34,9,1,0,44
133,2022,1,Al-Ahsa Governorate Office,النقل البري و النقل عبر الأنابيب,230,44,5,2,281
134,2022,1,Al-Ahsa Governorate Office,النقل الجوي,10,4,1,0,15
135,2022,1,Al-Ahsa Governorate Office,النقل المائي,3,0,0,0,3
136,2022,1,Al-Ahsa Governorate Office,الهندسة المدنية,18,4,0,0,22
137,2022,1,Al-Ahsa Governorate Office,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,1876,479,36,3,2394
138,2022,1,Al-Ahsa Governorate Office,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,532,150,10,4,696
139,2022,1,Al-Ahsa Governorate Office,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,759,190,6,0,955
140,2022,1,Al-Ahsa Governorate Office,تجميع المياه ومعالجتها وتوصيلها,9,7,0,0,16
141,2022,1,Al-Ahsa Governorate Office,تشييد المباني,1566,665,62,16,2309
142,2022,1,Al-Ahsa Governorate Office,تعدين الفحم والليغنيت,2,1,0,0,3
143,2022,1,Al-Ahsa Governorate Office,تعدين ركازات الفلزات,26,9,1,1,37
144,2022,1,Al-Ahsa Governorate Office,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,0,1,0,0,1
145,2022,1,Al-Ahsa Governorate Office,توصيل الكهرباء والغاز والبخار وتكييف الهواء,9,4,0,0,13
146,2022,1,Al-Ahsa Governorate Office,صناعة الآلات والمعدات غير المصنفة في موضع أخر,15,6,1,0,22
147,2022,1,Al-Ahsa Governorate Office,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,8,1,0,0,9
148,2022,1,Al-Ahsa Governorate Office,صناعة معدات النقل الأخرى,14,1,0,0,15
149,2022,1,Al-Ahsa Governorate Office,صنع الأثاث,138,48,1,0,187
150,2022,1,Al-Ahsa Governorate Office,صنع الحواسيب والمنتجات الإلكترونية والبصرية,90,21,1,0,112
151,2022,1,Al-Ahsa Governorate Office,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,55,20,1,1,77
152,2022,1,Al-Ahsa Governorate Office,صنع الفلزات القاعدية,53,16,0,0,69
153,2022,1,Al-Ahsa Governorate Office,صُنع المشروبات,7,9,0,0,16
154,2022,1,Al-Ahsa Governorate Office,صنع المعدات الكهربائية,47,24,1,0,72
155,2022,1,Al-Ahsa Governorate Office,صُنع الملبوسات,500,70,2,0,572
156,2022,1,Al-Ahsa Governorate Office,صُنع المنتجات الجلدية والمنتجات ذات الصلة,6,1,0,0,7
157,2022,1,Al-Ahsa Governorate Office,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,1,3,0,0,4
158,2022,1,Al-Ahsa Governorate Office,صُنع المنتجات الغذائية,236,80,16,4,336
159,2022,1,Al-Ahsa Governorate Office,صُنع المنسوجات,36,8,1,0,45
160,2022,1,Al-Ahsa Governorate Office,صُنع المواد الكيميائية والمنتجات الكيميائية,28,7,3,0,38
161,2022,1,Al-Ahsa Governorate Office,صُنع الورق ومنتجات الورق,2,2,0,1,5
162,2022,1,Al-Ahsa Governorate Office,صنع فحم الكوك والمنتجات النفطية المكررة,1,0,1,0,2
163,2022,1,Al-Ahsa Governorate Office,صُنع منتجات التبغ,3,1,0,0,4
164,2022,1,Al-Ahsa Governorate Office,صنع منتجات المطاط واللدائن,7,6,4,1,18
165,2022,1,Al-Ahsa Governorate Office,صنع منتجات المعادن اللافلزية الأخرى,54,38,11,0,103
166,2022,1,Al-Ahsa Governorate Office,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),99,55,6,1,161
167,2022,1,Al-Ahsa Governorate Office,صيد الأسماك وتربية المائيات,9,4,1,0,14
168,2022,1,Al-Ahsa Governorate Office,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,19,4,0,0,23
169,2022,1,Jubail Governorate Office,أبحاث الإعلان والسوق,21,5,0,0,26
170,2022,1,Jubail Governorate Office,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,45,15,3,0,63
171,2022,1,Jubail Governorate Office,إصلاح وتركيب الآلات والمعدات,43,27,5,0,75
172,2022,1,Jubail Governorate Office,أنشطة أنتاج الأفلام والبرامج التلفزيونية والتسجيلات الصوتية و نشرالموسيقى,1,0,0,0,1
173,2022,1,Jubail Governorate Office,أنشطة الأمن والتحقيقات,6,0,2,0,8
174,2022,1,Jubail Governorate Office,أنشطة الاستخدام,9,1,0,1,11
175,2022,1,Jubail Governorate Office,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1
176,2022,1,Jubail Governorate Office,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,8,6,0,0,14
177,2022,1,Jubail Governorate Office,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,2,0,0,0,2
178,2022,1,Jubail Governorate Office,أنشطة التشييد المتخصصة,727,305,34,19,1085
179,2022,1,Jubail Governorate Office,أنشطة الخدمات الشخصية الأخرى,466,91,6,0,563
180,2022,1,Jubail Governorate Office,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,8,2,1,0,11
181,2022,1,Jubail Governorate Office,أنشطة العمل الاجتماعي، دون إقامة، لكبار السن وذوي الإعاقة,8,7,1,0,16
182,2022,1,Jubail Governorate Office,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,2,0,0,3
183,2022,1,Jubail Governorate Office,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,41,15,1,3,60
184,2022,1,Jubail Governorate Office,أنشطة المكاتب الرئيسية ، وألأنشطة الاستشارية في مجال الإدارة,17,4,0,0,21
185,2022,1,Jubail Governorate Office,أنشطة المكتبات ودور المحفوظات، والمتاحف والأنشطة الثقافية الأخرى,12,2,1,0,15
186,2022,1,Jubail Governorate Office,أنشطة المنظمات الدولية,1,0,0,0,1
187,2022,1,Jubail Governorate Office,أنشطة المنظمات ذات العضوية,1,4,1,0,6
188,2022,1,Jubail Governorate Office,أنشطة النشر,30,3,1,0,34
189,2022,1,Jubail Governorate Office,أنشطة تقديم الخدمات للمباني وتجميل المواقع,248,123,28,5,404
190,2022,1,Jubail Governorate Office,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,2,1,1,1,5
191,2022,1,Jubail Governorate Office,أنشطة خدمات الأطعمة والمشروبات,840,328,19,2,1189
192,2022,1,Jubail Governorate Office,أنشطة خدمات المعلومات,4,2,0,0,6
193,2022,1,Jubail Governorate Office,أنشطة خدمات دعم التعدين,24,20,11,11,66
194,2022,1,Jubail Governorate Office,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,253,26,2,0,281
195,2022,1,Jubail Governorate Office,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,15,6,3,0,24
196,2022,1,Jubail Governorate Office,الإقامة,41,25,6,0,72
197,2022,1,Jubail Governorate Office,الأنشطة الأخرى للتعدين واستغلال المحاجر,4,5,3,2,14
198,2022,1,Jubail Governorate Office,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,24,2,0,0,26
199,2022,1,Jubail Governorate Office,الأنشطة الإيجارية,380,41,5,0,426
200,2022,1,Jubail Governorate Office,الأنشطة البيطرية,5,0,0,0,5
201,2022,1,Jubail Governorate Office,الأنشطة الرياضية وأنشطة التسلية والترفيه,28,7,0,0,35
202,2022,1,Jubail Governorate Office,الأنشطة العقارية,32,9,0,0,41
203,2022,1,Jubail Governorate Office,الأنشطة القانونية وأنشطة المحاسبة,6,3,0,0,9
204,2022,1,Jubail Governorate Office,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,2,0,0,0,2
205,2022,1,Jubail Governorate Office,الأنشطة المهنية والعلمية والتقنية الأخرى,19,3,0,0,22
206,2022,1,Jubail Governorate Office,الاتصالات,21,4,0,0,25
207,2022,1,Jubail Governorate Office,البحث والتطوير في المجال العلمي,1,1,0,0,2
208,2022,1,Jubail Governorate Office,التخزين وأنشطة الدعم للنقل,58,16,4,0,78
209,2022,1,Jubail Governorate Office,التعليم,30,14,13,0,57
210,2022,1,Jubail Governorate Office,الحراجة وقطع الأخشاب,2,0,0,0,2
211,2022,1,Jubail Governorate Office,الرعاية مع الإقامة,2,3,0,0,5
212,2022,1,Jubail Governorate Office,الصحة البشرية,18,17,14,6,55
213,2022,1,Jubail Governorate Office,الصرف الصحي,3,2,1,1,7
214,2022,1,Jubail Governorate Office,الصناعة التحويلية الأخرى,7,5,0,0,12
215,2022,1,Jubail Governorate Office,الطباعة واستنساخ وسائط الأعلام المسجّلة,16,9,1,0,26
216,2022,1,Jubail Governorate Office,النقل البري و النقل عبر الأنابيب,229,63,4,0,296
217,2022,1,Jubail Governorate Office,النقل الجوي,10,7,0,2,19
218,2022,1,Jubail Governorate Office,النقل المائي,7,1,0,0,8
219,2022,1,Jubail Governorate Office,الهندسة المدنية,27,19,2,0,48
220,2022,1,Jubail Governorate Office,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,1061,251,20,2,1334
221,2022,1,Jubail Governorate Office,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,527,184,21,7,739
222,2022,1,Jubail Governorate Office,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,566,115,6,0,687
223,2022,1,Jubail Governorate Office,تجميع المياه ومعالجتها وتوصيلها,3,6,0,0,9
224,2022,1,Jubail Governorate Office,تشييد المباني,1220,684,142,41,2087
225,2022,1,Jubail Governorate Office,تعدين الفحم والليغنيت,0,2,0,0,2
226,2022,1,Jubail Governorate Office,تعدين ركازات الفلزات,48,12,2,1,63
227,2022,1,Jubail Governorate Office,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,0,1,0,0,1
228,2022,1,Jubail Governorate Office,توصيل الكهرباء والغاز والبخار وتكييف الهواء,13,10,3,1,27
229,2022,1,Jubail Governorate Office,صناعة الآلات والمعدات غير المصنفة في موضع أخر,15,14,4,0,33
230,2022,1,Jubail Governorate Office,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,10,2,0,0,12
231,2022,1,Jubail Governorate Office,صناعة معدات النقل الأخرى,14,5,1,0,20
232,2022,1,Jubail Governorate Office,صنع الأثاث,36,6,0,0,42
233,2022,1,Jubail Governorate Office,صنع الحواسيب والمنتجات الإلكترونية والبصرية,27,7,4,2,40
234,2022,1,Jubail Governorate Office,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,69,13,4,0,86
235,2022,1,Jubail Governorate Office,صنع الفلزات القاعدية,68,25,13,5,111
236,2022,1,Jubail Governorate Office,صُنع المشروبات,3,2,0,0,5
237,2022,1,Jubail Governorate Office,صنع المعدات الكهربائية,61,20,4,1,86
238,2022,1,Jubail Governorate Office,صُنع الملبوسات,169,24,1,0,194
239,2022,1,Jubail Governorate Office,صُنع المنتجات الجلدية والمنتجات ذات الصلة,0,1,0,0,1
240,2022,1,Jubail Governorate Office,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,1,0,0,0,1
241,2022,1,Jubail Governorate Office,صُنع المنتجات الغذائية,121,40,3,1,165
242,2022,1,Jubail Governorate Office,صُنع المنسوجات,43,14,1,0,58
243,2022,1,Jubail Governorate Office,صُنع المواد الكيميائية والمنتجات الكيميائية,25,18,19,3,65
244,2022,1,Jubail Governorate Office,صُنع الورق ومنتجات الورق,1,0,0,0,1
245,2022,1,Jubail Governorate Office,صنع فحم الكوك والمنتجات النفطية المكررة,2,4,0,1,7
246,2022,1,Jubail Governorate Office,صُنع منتجات التبغ,2,0,0,0,2
247,2022,1,Jubail Governorate Office,صنع منتجات المطاط واللدائن,12,23,10,10,55
248,2022,1,Jubail Governorate Office,صنع منتجات المعادن اللافلزية الأخرى,47,26,10,2,85
249,2022,1,Jubail Governorate Office,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),145,46,21,6,218
250,2022,1,Jubail Governorate Office,صيد الأسماك وتربية المائيات,66,88,1,0,155
251,2022,1,Jubail Governorate Office,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,5,3,0,0,8
252,2022,1,Al-Kharj Office,أبحاث الإعلان والسوق,14,4,0,0,18
253,2022,1,Al-Kharj Office,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,86,11,0,0,97
254,2022,1,Al-Kharj Office,إصلاح وتركيب الآلات والمعدات,35,2,1,0,38
255,2022,1,Al-Kharj Office,أنشطة أنتاج الأفلام والبرامج التلفزيونية والتسجيلات الصوتية و نشرالموسيقى,2,0,0,0,2
256,2022,1,Al-Kharj Office,أنشطة الأمن والتحقيقات,2,1,0,0,3
257,2022,1,Al-Kharj Office,أنشطة الاستخدام,17,5,0,1,23
258,2022,1,Al-Kharj Office,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,3,2,0,0,5
259,2022,1,Al-Kharj Office,أنشطة البرمجة والإذاعة,2,0,0,0,2
260,2022,1,Al-Kharj Office,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,2,0,0,0,2
261,2022,1,Al-Kharj Office,أنشطة التشييد المتخصصة,1019,199,9,1,1228
262,2022,1,Al-Kharj Office,أنشطة الخدمات الشخصية الأخرى,598,57,1,0,656
263,2022,1,Al-Kharj Office,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,27,8,0,0,35
